game_pk,date,away_team,home_team
717956,2023-05-30,Minnesota Twins,Houston Astros
717959,2023-05-30,Los Angeles Angels,Chicago White Sox
717955,2023-05-30,Colorado Rockies,Arizona Diamondbacks
717958,2023-05-30,Atlanta Braves,Oakland Athletics
717952,2023-05-30,New York Yankees,Seattle Mariners
717972,2023-05-30,Pittsburgh Pirates,San Francisco Giants
717957,2023-05-30,Washington Nationals,Los Angeles Dodgers
717951,2023-05-31,Texas Rangers,Detroit Tigers
717943,2023-05-31,Los Angeles Angels,Chicago White Sox
717950,2023-05-31,Tampa Bay Rays,Chicago Cubs
717946,2023-05-31,Cleveland Guardians,Baltimore Orioles
717949,2023-05-31,Atlanta Braves,Oakland Athletics
717953,2023-05-31,Pittsburgh Pirates,San Francisco Giants
717954,2023-05-31,Washington Nationals,Los Angeles Dodgers
717945,2023-05-31,San Diego Padres,Miami Marlins
717947,2023-05-31,Milwaukee Brewers,Toronto Blue Jays
717948,2023-05-31,Cincinnati Reds,Boston Red Sox
717944,2023-05-31,Philadelphia Phillies,New York Mets
717938,2023-05-31,Minnesota Twins,Houston Astros
717940,2023-05-31,Colorado Rockies,Arizona Diamondbacks
717939,2023-05-31,New York Yankees,Seattle Mariners
717942,2023-06-01,Milwaukee Brewers,Toronto Blue Jays
717934,2023-06-01,Philadelphia Phillies,New York Mets
717941,2023-06-01,San Diego Padres,Miami Marlins
717933,2023-06-01,Colorado Rockies,Arizona Diamondbacks
717932,2023-06-01,Cincinnati Reds,Boston Red Sox
717937,2023-06-01,Cleveland Guardians,Minnesota Twins
717936,2023-06-01,Los Angeles Angels,Houston Astros
717931,2023-06-02,Milwaukee Brewers,Cincinnati Reds
717927,2023-06-02,Oakland Athletics,Miami Marlins
717930,2023-06-02,St. Louis Cardinals,Pittsburgh Pirates
717935,2023-06-02,Philadelphia Phillies,Washington Nationals
717929,2023-06-02,Toronto Blue Jays,New York Mets
717922,2023-06-02,Seattle Mariners,Texas Rangers
717926,2023-06-02,Los Angeles Angels,Houston Astros
717923,2023-06-02,Colorado Rockies,Kansas City Royals
717924,2023-06-02,Cleveland Guardians,Minnesota Twins
717925,2023-06-02,Detroit Tigers,Chicago White Sox
717921,2023-06-02,Chicago Cubs,San Diego Padres
717919,2023-06-02,Atlanta Braves,Arizona Diamondbacks
717917,2023-06-02,New York Yankees,Los Angeles Dodgers
717920,2023-06-02,Baltimore Orioles,San Francisco Giants
717928,2023-06-05,Tampa Bay Rays,Boston Red Sox
717918,2023-06-03,Tampa Bay Rays,Boston Red Sox
717885,2023-06-03,Tampa Bay Rays,Boston Red Sox
717915,2023-06-03,Detroit Tigers,Chicago White Sox
717907,2023-06-03,St. Louis Cardinals,Pittsburgh Pirates
717912,2023-06-03,Seattle Mariners,Texas Rangers
717914,2023-06-03,Philadelphia Phillies,Washington Nationals
717908,2023-06-03,Los Angeles Angels,Houston Astros
717909,2023-06-03,Colorado Rockies,Kansas City Royals
717910,2023-06-03,Toronto Blue Jays,New York Mets
717911,2023-06-03,Oakland Athletics,Miami Marlins
717906,2023-06-03,Milwaukee Brewers,Cincinnati Reds
717913,2023-06-03,Cleveland Guardians,Minnesota Twins
717905,2023-06-03,New York Yankees,Los Angeles Dodgers
717916,2023-06-03,Baltimore Orioles,San Francisco Giants
717903,2023-06-03,Chicago Cubs,San Diego Padres
717901,2023-06-03,Atlanta Braves,Arizona Diamondbacks
717898,2023-06-04,St. Louis Cardinals,Pittsburgh Pirates
717904,2023-06-04,Tampa Bay Rays,Boston Red Sox
717902,2023-06-04,Philadelphia Phillies,Washington Nationals
717900,2023-06-04,Toronto Blue Jays,New York Mets
717896,2023-06-04,Oakland Athletics,Miami Marlins
717897,2023-06-04,Milwaukee Brewers,Cincinnati Reds
717899,2023-06-04,Los Angeles Angels,Houston Astros
717893,2023-06-04,Colorado Rockies,Kansas City Royals
717895,2023-06-04,Cleveland Guardians,Minnesota Twins
717891,2023-06-04,Detroit Tigers,Chicago White Sox
717894,2023-06-04,Seattle Mariners,Texas Rangers
717890,2023-06-04,Baltimore Orioles,San Francisco Giants
717892,2023-06-04,Atlanta Braves,Arizona Diamondbacks
717889,2023-06-04,Chicago Cubs,San Diego Padres
717888,2023-06-04,New York Yankees,Los Angeles Dodgers
717928,2023-06-05,Tampa Bay Rays,Boston Red Sox
717886,2023-06-05,Detroit Tigers,Philadelphia Phillies
717887,2023-06-05,Kansas City Royals,Miami Marlins
717884,2023-06-05,Oakland Athletics,Pittsburgh Pirates
717878,2023-06-05,Houston Astros,Toronto Blue Jays
717883,2023-06-05,Milwaukee Brewers,Cincinnati Reds
717879,2023-06-05,St. Louis Cardinals,Texas Rangers
717880,2023-06-05,Chicago Cubs,San Diego Padres
717882,2023-06-06,Minnesota Twins,Tampa Bay Rays
717875,2023-06-06,Detroit Tigers,Philadelphia Phillies
717876,2023-06-06,Kansas City Royals,Miami Marlins
717881,2023-06-06,Arizona Diamondbacks,Washington Nationals
717874,2023-06-06,Oakland Athletics,Pittsburgh Pirates
717877,2023-06-06,Chicago White Sox,New York Yankees
717871,2023-06-06,Houston Astros,Toronto Blue Jays
717873,2023-06-06,Boston Red Sox,Cleveland Guardians
717870,2023-06-06,Los Angeles Dodgers,Cincinnati Reds
717872,2023-06-06,New York Mets,Atlanta Braves
717867,2023-06-06,Baltimore Orioles,Milwaukee Brewers
717868,2023-06-06,St. Louis Cardinals,Texas Rangers
717869,2023-06-06,San Francisco Giants,Colorado Rockies
717861,2023-06-06,Chicago Cubs,Los Angeles Angels
717864,2023-06-06,Seattle Mariners,San Diego Padres
717865,2023-06-07,Oakland Athletics,Pittsburgh Pirates
717863,2023-06-07,Seattle Mariners,San Diego Padres
717860,2023-06-07,Kansas City Royals,Miami Marlins
717859,2023-06-07,Minnesota Twins,Tampa Bay Rays
717866,2023-06-07,Arizona Diamondbacks,Washington Nationals
717856,2023-06-07,Houston Astros,Toronto Blue Jays
717858,2023-06-07,Boston Red Sox,Cleveland Guardians
717853,2023-06-07,Los Angeles Dodgers,Cincinnati Reds
717850,2023-06-07,New York Mets,Atlanta Braves
717851,2023-06-07,Baltimore Orioles,Milwaukee Brewers
717854,2023-06-07,St. Louis Cardinals,Texas Rangers
717852,2023-06-07,San Francisco Giants,Colorado Rockies
717855,2023-06-07,Chicago Cubs,Los Angeles Angels
717862,2023-06-08,Detroit Tigers,Philadelphia Phillies
717857,2023-06-08,Chicago White Sox,New York Yankees
717844,2023-06-08,Los Angeles Dodgers,Cincinnati Reds
717845,2023-06-08,Minnesota Twins,Tampa Bay Rays
717849,2023-06-08,Baltimore Orioles,Milwaukee Brewers
717846,2023-06-08,San Francisco Giants,Colorado Rockies
717848,2023-06-08,Chicago White Sox,New York Yankees
717857,2023-06-08,Chicago White Sox,New York Yankees
717862,2023-06-08,Detroit Tigers,Philadelphia Phillies
717843,2023-06-08,Houston Astros,Toronto Blue Jays
717842,2023-06-08,Boston Red Sox,Cleveland Guardians
717840,2023-06-08,New York Mets,Atlanta Braves
717838,2023-06-08,Chicago Cubs,Los Angeles Angels
717847,2023-06-22,Arizona Diamondbacks,Washington Nationals
717834,2023-06-09,Arizona Diamondbacks,Detroit Tigers
717827,2023-06-09,Texas Rangers,Tampa Bay Rays
717839,2023-06-09,Kansas City Royals,Baltimore Orioles
717836,2023-06-09,New York Mets,Pittsburgh Pirates
717837,2023-06-09,Los Angeles Dodgers,Philadelphia Phillies
717841,2023-06-09,Boston Red Sox,New York Yankees
717835,2023-06-09,Minnesota Twins,Toronto Blue Jays
717833,2023-06-09,Houston Astros,Cleveland Guardians
717829,2023-06-09,Washington Nationals,Atlanta Braves
717828,2023-06-09,Miami Marlins,Chicago White Sox
717831,2023-06-09,Oakland Athletics,Milwaukee Brewers
717832,2023-06-09,Cincinnati Reds,St. Louis Cardinals
717830,2023-06-09,San Diego Padres,Colorado Rockies
717824,2023-06-09,Seattle Mariners,Los Angeles Angels
717823,2023-06-09,Chicago Cubs,San Francisco Giants
717821,2023-06-10,Arizona Diamondbacks,Detroit Tigers
717820,2023-06-10,Miami Marlins,Chicago White Sox
717817,2023-06-10,Cincinnati Reds,St. Louis Cardinals
717822,2023-06-10,Minnesota Twins,Toronto Blue Jays
717819,2023-06-10,San Diego Padres,Colorado Rockies
717818,2023-06-10,Kansas City Royals,Baltimore Orioles
717812,2023-06-10,New York Mets,Pittsburgh Pirates
717811,2023-06-10,Los Angeles Dodgers,Philadelphia Phillies
717813,2023-06-10,Texas Rangers,Tampa Bay Rays
717816,2023-06-10,Washington Nationals,Atlanta Braves
717814,2023-06-10,Oakland Athletics,Milwaukee Brewers
717815,2023-06-10,Houston Astros,Cleveland Guardians
717826,2023-06-10,Chicago Cubs,San Francisco Giants
717825,2023-06-10,Boston Red Sox,New York Yankees
717809,2023-06-10,Seattle Mariners,Los Angeles Angels
717804,2023-06-11,Arizona Diamondbacks,Detroit Tigers
717802,2023-06-11,Houston Astros,Cleveland Guardians
717808,2023-06-11,Kansas City Royals,Baltimore Orioles
717803,2023-06-11,New York Mets,Pittsburgh Pirates
717806,2023-06-11,Los Angeles Dodgers,Philadelphia Phillies
717807,2023-06-11,Washington Nationals,Atlanta Braves
717805,2023-06-11,Minnesota Twins,Toronto Blue Jays
717801,2023-06-11,Texas Rangers,Tampa Bay Rays
717795,2023-06-11,Miami Marlins,Chicago White Sox
717800,2023-06-11,Oakland Athletics,Milwaukee Brewers
717797,2023-06-11,Cincinnati Reds,St. Louis Cardinals
717798,2023-06-11,San Diego Padres,Colorado Rockies
717796,2023-06-11,Chicago Cubs,San Francisco Giants
717799,2023-06-11,Seattle Mariners,Los Angeles Angels
717810,2023-06-11,Boston Red Sox,New York Yankees
717790,2023-06-12,Atlanta Braves,Detroit Tigers
717794,2023-06-12,Colorado Rockies,Boston Red Sox
717791,2023-06-12,San Francisco Giants,St. Louis Cardinals
717792,2023-06-12,Los Angeles Angels,Texas Rangers
717793,2023-06-12,Cincinnati Reds,Kansas City Royals
717789,2023-06-12,Tampa Bay Rays,Oakland Athletics
717785,2023-06-12,Philadelphia Phillies,Arizona Diamondbacks
717786,2023-06-12,Miami Marlins,Seattle Mariners
717787,2023-06-13,Toronto Blue Jays,Baltimore Orioles
717788,2023-06-13,Colorado Rockies,Boston Red Sox
717779,2023-06-13,New York Yankees,New York Mets
717783,2023-06-13,Milwaukee Brewers,Minnesota Twins
717781,2023-06-13,San Francisco Giants,St. Louis Cardinals
717782,2023-06-13,Pittsburgh Pirates,Chicago Cubs
717780,2023-06-13,Los Angeles Angels,Texas Rangers
717777,2023-06-13,Cincinnati Reds,Kansas City Royals
717778,2023-06-13,Washington Nationals,Houston Astros
717772,2023-06-13,Cleveland Guardians,San Diego Padres
717774,2023-06-13,Tampa Bay Rays,Oakland Athletics
717775,2023-06-13,Philadelphia Phillies,Arizona Diamondbacks
717773,2023-06-13,Miami Marlins,Seattle Mariners
717776,2023-06-13,Chicago White Sox,Los Angeles Dodgers
717784,2023-06-14,Atlanta Braves,Detroit Tigers
717770,2023-06-14,Atlanta Braves,Detroit Tigers
717784,2023-06-14,Atlanta Braves,Detroit Tigers
717771,2023-06-14,Milwaukee Brewers,Minnesota Twins
717767,2023-06-14,San Francisco Giants,St. Louis Cardinals
717769,2023-06-14,Toronto Blue Jays,Baltimore Orioles
717768,2023-06-14,Colorado Rockies,Boston Red Sox
717766,2023-06-14,New York Yankees,New York Mets
717763,2023-06-14,Pittsburgh Pirates,Chicago Cubs
717765,2023-06-14,Los Angeles Angels,Texas Rangers
717764,2023-06-14,Cincinnati Reds,Kansas City Royals
717762,2023-06-14,Washington Nationals,Houston Astros
717758,2023-06-14,Cleveland Guardians,San Diego Padres
717761,2023-06-14,Tampa Bay Rays,Oakland Athletics
717757,2023-06-14,Philadelphia Phillies,Arizona Diamondbacks
717759,2023-06-14,Miami Marlins,Seattle Mariners
717760,2023-06-14,Chicago White Sox,Los Angeles Dodgers
717753,2023-06-15,Toronto Blue Jays,Baltimore Orioles
717756,2023-06-15,Tampa Bay Rays,Oakland Athletics
717755,2023-06-15,Philadelphia Phillies,Arizona Diamondbacks
717752,2023-06-15,Detroit Tigers,Minnesota Twins
717754,2023-06-15,Colorado Rockies,Atlanta Braves
717747,2023-06-15,Pittsburgh Pirates,Chicago Cubs
717751,2023-06-15,Los Angeles Angels,Texas Rangers
717746,2023-06-15,Washington Nationals,Houston Astros
717750,2023-06-15,Cleveland Guardians,San Diego Padres
717748,2023-06-15,Chicago White Sox,Los Angeles Dodgers
717744,2023-06-16,Baltimore Orioles,Chicago Cubs
717749,2023-06-16,Miami Marlins,Washington Nationals
717743,2023-06-16,St. Louis Cardinals,New York Mets
717742,2023-06-16,New York Yankees,Boston Red Sox
717745,2023-06-16,Colorado Rockies,Atlanta Braves
717741,2023-06-16,Toronto Blue Jays,Texas Rangers
717737,2023-06-16,Cincinnati Reds,Houston Astros
717736,2023-06-16,Los Angeles Angels,Kansas City Royals
717738,2023-06-16,Detroit Tigers,Minnesota Twins
717740,2023-06-16,Pittsburgh Pirates,Milwaukee Brewers
717739,2023-06-16,Cleveland Guardians,Arizona Diamondbacks
717732,2023-06-16,Tampa Bay Rays,San Diego Padres
717735,2023-06-16,Philadelphia Phillies,Oakland Athletics
717731,2023-06-16,San Francisco Giants,Los Angeles Dodgers
717733,2023-06-16,Chicago White Sox,Seattle Mariners
717728,2023-06-17,Detroit Tigers,Minnesota Twins
717729,2023-06-17,Baltimore Orioles,Chicago Cubs
717723,2023-06-17,Toronto Blue Jays,Texas Rangers
717734,2023-06-17,Miami Marlins,Washington Nationals
717725,2023-06-17,Philadelphia Phillies,Oakland Athletics
717727,2023-06-17,Cincinnati Reds,Houston Astros
717726,2023-06-17,Los Angeles Angels,Kansas City Royals
717718,2023-06-17,St. Louis Cardinals,New York Mets
717724,2023-06-17,Colorado Rockies,Atlanta Braves
717722,2023-06-17,Chicago White Sox,Seattle Mariners
717720,2023-06-17,Pittsburgh Pirates,Milwaukee Brewers
717717,2023-06-17,Tampa Bay Rays,San Diego Padres
717721,2023-06-17,San Francisco Giants,Los Angeles Dodgers
717719,2023-06-17,Cleveland Guardians,Arizona Diamondbacks
717730,2023-06-18,New York Yankees,Boston Red Sox
717708,2023-06-18,Baltimore Orioles,Chicago Cubs
717716,2023-06-18,Colorado Rockies,Atlanta Braves
717714,2023-06-18,Miami Marlins,Washington Nationals
717730,2023-06-18,New York Yankees,Boston Red Sox
717715,2023-06-18,New York Yankees,Boston Red Sox
717713,2023-06-18,St. Louis Cardinals,New York Mets
717707,2023-06-18,Cincinnati Reds,Houston Astros
717712,2023-06-18,Los Angeles Angels,Kansas City Royals
717711,2023-06-18,Detroit Tigers,Minnesota Twins
717710,2023-06-18,Pittsburgh Pirates,Milwaukee Brewers
717709,2023-06-18,Toronto Blue Jays,Texas Rangers
717705,2023-06-18,Philadelphia Phillies,Oakland Athletics
717706,2023-06-18,Cleveland Guardians,Arizona Diamondbacks
717702,2023-06-18,San Francisco Giants,Los Angeles Dodgers
717703,2023-06-18,Tampa Bay Rays,San Diego Padres
717704,2023-06-18,Chicago White Sox,Seattle Mariners
717699,2023-06-19,St. Louis Cardinals,Washington Nationals
717692,2023-06-19,Kansas City Royals,Detroit Tigers
717700,2023-06-19,Toronto Blue Jays,Miami Marlins
717698,2023-06-19,Chicago Cubs,Pittsburgh Pirates
717701,2023-06-19,Colorado Rockies,Cincinnati Reds
717693,2023-06-19,Boston Red Sox,Minnesota Twins
717694,2023-06-19,New York Mets,Houston Astros
717695,2023-06-19,Texas Rangers,Chicago White Sox
717696,2023-06-19,Arizona Diamondbacks,Milwaukee Brewers
717697,2023-06-19,San Diego Padres,San Francisco Giants
717681,2023-06-20,Kansas City Royals,Detroit Tigers
717687,2023-06-20,Baltimore Orioles,Tampa Bay Rays
717689,2023-06-20,Atlanta Braves,Philadelphia Phillies
717690,2023-06-20,Toronto Blue Jays,Miami Marlins
717686,2023-06-20,Chicago Cubs,Pittsburgh Pirates
717691,2023-06-20,St. Louis Cardinals,Washington Nationals
717684,2023-06-20,Seattle Mariners,New York Yankees
717685,2023-06-20,Colorado Rockies,Cincinnati Reds
717679,2023-06-20,Oakland Athletics,Cleveland Guardians
717683,2023-06-20,Boston Red Sox,Minnesota Twins
717682,2023-06-20,New York Mets,Houston Astros
717675,2023-06-20,Texas Rangers,Chicago White Sox
717680,2023-06-20,Arizona Diamondbacks,Milwaukee Brewers
717688,2023-06-20,San Diego Padres,San Francisco Giants
717678,2023-06-20,Los Angeles Dodgers,Los Angeles Angels
717677,2023-06-21,Baltimore Orioles,Tampa Bay Rays
717676,2023-06-21,Toronto Blue Jays,Miami Marlins
717669,2023-06-21,Colorado Rockies,Cincinnati Reds
717671,2023-06-21,Chicago Cubs,Pittsburgh Pirates
717668,2023-06-21,Kansas City Royals,Detroit Tigers
717670,2023-06-21,New York Mets,Houston Astros
717672,2023-06-21,Arizona Diamondbacks,Milwaukee Brewers
717673,2023-06-21,St. Louis Cardinals,Washington Nationals
717666,2023-06-21,Seattle Mariners,New York Yankees
717663,2023-06-21,Oakland Athletics,Cleveland Guardians
717665,2023-06-21,Boston Red Sox,Minnesota Twins
717667,2023-06-21,Texas Rangers,Chicago White Sox
717662,2023-06-21,Los Angeles Dodgers,Los Angeles Angels
717674,2023-06-21,San Diego Padres,San Francisco Giants
717664,2023-09-11,Atlanta Braves,Philadelphia Phillies
717847,2023-06-22,Arizona Diamondbacks,Washington Nationals
717657,2023-06-22,Atlanta Braves,Philadelphia Phillies
717660,2023-06-22,Oakland Athletics,Cleveland Guardians
717658,2023-06-22,Boston Red Sox,Minnesota Twins
717661,2023-06-22,San Diego Padres,San Francisco Giants
717659,2023-06-22,Kansas City Royals,Tampa Bay Rays
717654,2023-06-22,Pittsburgh Pirates,Miami Marlins
717652,2023-06-22,Seattle Mariners,New York Yankees
717649,2023-06-23,Kansas City Royals,Tampa Bay Rays
717647,2023-06-23,Minnesota Twins,Detroit Tigers
717650,2023-06-23,Atlanta Braves,Cincinnati Reds
717653,2023-06-23,Pittsburgh Pirates,Miami Marlins
717651,2023-06-23,Seattle Mariners,Baltimore Orioles
717656,2023-06-23,New York Mets,Philadelphia Phillies
717655,2023-06-23,Texas Rangers,New York Yankees
717646,2023-06-23,Oakland Athletics,Toronto Blue Jays
717648,2023-06-23,Milwaukee Brewers,Cleveland Guardians
717645,2023-06-23,Boston Red Sox,Chicago White Sox
717644,2023-06-23,Los Angeles Angels,Colorado Rockies
717642,2023-06-23,Washington Nationals,San Diego Padres
717643,2023-06-23,Houston Astros,Los Angeles Dodgers
717641,2023-06-23,Arizona Diamondbacks,San Francisco Giants
717637,2023-06-24,Chicago Cubs,St. Louis Cardinals
717628,2023-06-24,Seattle Mariners,Baltimore Orioles
717639,2023-06-24,Arizona Diamondbacks,San Francisco Giants
717635,2023-06-24,New York Mets,Philadelphia Phillies
717636,2023-06-24,Texas Rangers,New York Yankees
717634,2023-06-24,Oakland Athletics,Toronto Blue Jays
717632,2023-06-24,Kansas City Royals,Tampa Bay Rays
717631,2023-06-24,Atlanta Braves,Cincinnati Reds
717629,2023-06-24,Boston Red Sox,Chicago White Sox
717630,2023-06-24,Pittsburgh Pirates,Miami Marlins
717625,2023-06-24,Milwaukee Brewers,Cleveland Guardians
717626,2023-06-24,Houston Astros,Los Angeles Dodgers
717633,2023-06-24,Minnesota Twins,Detroit Tigers
717638,2023-06-24,Washington Nationals,San Diego Padres
717640,2023-06-24,Los Angeles Angels,Colorado Rockies
717623,2023-06-25,Chicago Cubs,St. Louis Cardinals
717621,2023-06-25,Minnesota Twins,Detroit Tigers
717627,2023-06-25,Seattle Mariners,Baltimore Orioles
717624,2023-06-25,New York Mets,Philadelphia Phillies
717622,2023-06-25,Texas Rangers,New York Yankees
717617,2023-06-25,Oakland Athletics,Toronto Blue Jays
717619,2023-06-25,Kansas City Royals,Tampa Bay Rays
717618,2023-06-25,Atlanta Braves,Cincinnati Reds
717620,2023-06-25,Pittsburgh Pirates,Miami Marlins
717613,2023-06-25,Milwaukee Brewers,Cleveland Guardians
717614,2023-06-25,Boston Red Sox,Chicago White Sox
717616,2023-06-25,Los Angeles Angels,Colorado Rockies
717612,2023-06-25,Arizona Diamondbacks,San Francisco Giants
717610,2023-06-25,Washington Nationals,San Diego Padres
717615,2023-06-25,Houston Astros,Los Angeles Dodgers
717611,2023-06-26,Cincinnati Reds,Baltimore Orioles
717607,2023-06-26,Milwaukee Brewers,New York Mets
717609,2023-06-26,Minnesota Twins,Atlanta Braves
717606,2023-06-26,Detroit Tigers,Texas Rangers
717608,2023-06-26,Chicago White Sox,Los Angeles Angels
717602,2023-06-26,Washington Nationals,Seattle Mariners
717601,2023-06-27,Cincinnati Reds,Baltimore Orioles
717603,2023-06-27,San Diego Padres,Pittsburgh Pirates
717604,2023-06-27,San Francisco Giants,Toronto Blue Jays
717605,2023-06-27,Miami Marlins,Boston Red Sox
717597,2023-06-27,Milwaukee Brewers,New York Mets
717600,2023-06-27,Minnesota Twins,Atlanta Braves
717598,2023-06-27,Houston Astros,St. Louis Cardinals
717599,2023-06-27,Detroit Tigers,Texas Rangers
717596,2023-06-27,Philadelphia Phillies,Chicago Cubs
717591,2023-06-27,Cleveland Guardians,Kansas City Royals
717594,2023-06-27,Los Angeles Dodgers,Colorado Rockies
717592,2023-06-27,Chicago White Sox,Los Angeles Angels
717590,2023-06-27,Washington Nationals,Seattle Mariners
717593,2023-06-27,Tampa Bay Rays,Arizona Diamondbacks
717595,2023-06-27,New York Yankees,Oakland Athletics
717588,2023-06-28,Minnesota Twins,Atlanta Braves
717587,2023-06-28,Washington Nationals,Seattle Mariners
717589,2023-06-28,Cincinnati Reds,Baltimore Orioles
717585,2023-06-28,San Diego Padres,Pittsburgh Pirates
717586,2023-06-28,San Francisco Giants,Toronto Blue Jays
717583,2023-06-28,Miami Marlins,Boston Red Sox
717581,2023-06-28,Milwaukee Brewers,New York Mets
717582,2023-06-28,Houston Astros,St. Louis Cardinals
717580,2023-06-28,Detroit Tigers,Texas Rangers
717584,2023-06-28,Philadelphia Phillies,Chicago Cubs
717577,2023-06-28,Cleveland Guardians,Kansas City Royals
717578,2023-06-28,Los Angeles Dodgers,Colorado Rockies
717576,2023-06-28,Chicago White Sox,Los Angeles Angels
717575,2023-06-28,Tampa Bay Rays,Arizona Diamondbacks
717579,2023-06-28,New York Yankees,Oakland Athletics
717571,2023-06-29,San Diego Padres,Pittsburgh Pirates
717570,2023-06-29,Detroit Tigers,Texas Rangers
717573,2023-06-29,Cleveland Guardians,Kansas City Royals
717574,2023-06-29,New York Yankees,Oakland Athletics
717568,2023-06-29,Tampa Bay Rays,Arizona Diamondbacks
717560,2023-06-29,Chicago White Sox,Los Angeles Angels
717569,2023-06-29,Miami Marlins,Boston Red Sox
717564,2023-06-29,San Francisco Giants,Toronto Blue Jays
717565,2023-06-29,Milwaukee Brewers,New York Mets
717566,2023-06-29,Houston Astros,St. Louis Cardinals
717567,2023-06-29,Philadelphia Phillies,Chicago Cubs
717572,2023-06-29,Los Angeles Dodgers,Colorado Rockies
717559,2023-06-30,Cleveland Guardians,Chicago Cubs
717557,2023-06-30,San Diego Padres,Cincinnati Reds
717563,2023-06-30,Washington Nationals,Philadelphia Phillies
717561,2023-06-30,Minnesota Twins,Baltimore Orioles
717562,2023-06-30,Milwaukee Brewers,Pittsburgh Pirates
717555,2023-06-30,Boston Red Sox,Toronto Blue Jays
717556,2023-06-30,San Francisco Giants,New York Mets
717558,2023-06-30,Miami Marlins,Atlanta Braves
717554,2023-06-30,Houston Astros,Texas Rangers
717552,2023-06-30,Detroit Tigers,Colorado Rockies
717553,2023-06-30,Los Angeles Dodgers,Kansas City Royals
717549,2023-06-30,Arizona Diamondbacks,Los Angeles Angels
717551,2023-06-30,Chicago White Sox,Oakland Athletics
717548,2023-06-30,Tampa Bay Rays,Seattle Mariners
